url_origem,regra_wcag_id,titulo_erro,seletor_css,snippet_html
https://ufal.br/acessibilidade,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/transparencia/licitacoes/pregoes-eletronicos/2018/pe-srp-0…"" class=""contenttype-file state-"">"
https://ufal.br/acessibilidade,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-file,"<a href=""https://ufal.br/estudante/graduacao/avaliacao/manuais/avaliacao/ies_recred…"" class=""contenttype-file state-"">"
https://ufal.br/acessibilidade,target-size,Touch targets do not have sufficient size or spacing.,nav > ul#page-not-found-list > li > a.contenttype-document,"<a href=""https://ufal.br/ufal/institucional/pro-reitorias/proest/estudantil-proest"" class=""contenttype-document state-published"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/institucional/identificacao-da-ufal"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/institucional/Estatuto_Regimento_Ufal.pdf"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/institucional/organograma.pdf"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/institucional/plano-de-aquisicoes-e-contrata…"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/institucional/ufal-em-numeros"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/institucional/painel-proinfra"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/institucional/agendamento-de-transporte"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/institucional/fundepes"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/institucional/comissao-propria-de-avaliacao-…"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/institucional/agenda"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/planejamento/plano-de-gestao-2024"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/planejamento/plano-de-desenvolvimento"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/planejamento/plano-de-desenvolvimento-das-un…"">"
