regra_wcag_id,0
landmark-one-main,0.33695603962085113
total_erros,0.20694979885165948
html-has-lang,0.15329563972680632
diversidade_erros,0.10242426027080953
heading-order,0.049666706193493705
input-button-name,0.04041157103906136
target-size,0.024860419676690254
link-in-text-block,0.021593829209802445
listitem,0.015084768447506766
meta-viewport,0.014159492943714535
definition-list,0.013857861735477884
frame-title,0.00828054601719128
select-name,0.004079109023260875
document-title,0.0028750330308216897
accesskeys,0.00206639845979522
