pca_1,pca_2,cluster
2.1958178679451437,1.552975303839589,2
-0.31509342283299346,-0.15137641169105126,2
1.7647385196539738,1.0994742771221016,2
-0.31509342283299346,-0.15137641169105126,2
0.33484925270211147,-0.25849443962487173,2
-0.31509342283299346,-0.15137641169105126,2
0.21930202880917396,-0.2514102310889958,2
0.6088291521178928,-0.2954780646379427,2
-0.31509342283299346,-0.15137641169105126,2
-0.31509342283299346,-0.15137641169105126,2
3.279073033847153,0.10304553899837858,2
0.3294777133879481,-0.6649284839029942,2
0.3294777133879481,-0.6649284839029942,2
0.3294777133879481,-0.6649284839029942,2
0.3294777133879481,-0.6649284839029942,2
0.20351639041234562,-0.5517764406854793,2
0.3294777133879481,-0.6649284839029942,2
0.3294777133879481,-0.6649284839029942,2
0.3294777133879481,-0.6649284839029942,2
0.3294777133879481,-0.6649284839029942,2
3.137406027418957,-1.365198800988146,2
-0.8654860862896328,0.226368686769532,2
-0.8654860862896328,0.226368686769532,2
-0.9141278427404643,0.21847476089203607,2
-0.8654860862896328,0.226368686769532,2
0.1974615028664118,0.22318583716619594,2
-0.6365196191991612,0.2737538604486952,2
-0.8654860862896328,0.226368686769532,2
-0.8654860862896328,0.226368686769532,2
-0.8654860862896328,0.226368686769532,2
-0.9578569803070012,-0.35524884453742556,2
-0.7960642938921515,-0.2575725299884695,2
-0.8293491959817155,-0.2606054070878799,2
-0.7960642938921515,-0.2575725299884695,2
-1.2565313902539628,-0.34763080723239953,2
-0.8258048758188885,-0.26483285163437104,2
-0.831121356063129,-0.25849168481463425,2
-0.8293491959817155,-0.2606054070878799,2
-0.2776913967343209,-0.45382591058738014,2
12.353933749502044,15.095254486546464,1
-0.6375617919545146,0.34327281179880476,2
-0.6375617919545146,0.34327281179880476,2
-0.6375617919545146,0.34327281179880476,2
-0.6375617919545146,0.34327281179880476,2
-0.6375617919545146,0.34327281179880476,2
-0.6375617919545146,0.34327281179880476,2
-0.6375617919545146,0.34327281179880476,2
-0.6375617919545146,0.34327281179880476,2
-0.6375617919545146,0.34327281179880476,2
-1.2191970890105923,-0.3485830618955278,2
-1.2191970890105923,-0.3485830618955278,2
-1.2191970890105923,-0.3485830618955278,2
-1.2191970890105923,-0.3485830618955278,2
-1.2191970890105923,-0.3485830618955278,2
-1.2191970890105923,-0.3485830618955278,2
-1.2191970890105923,-0.3485830618955278,2
-1.2191970890105923,-0.3485830618955278,2
-1.2191970890105923,-0.3485830618955278,2
-1.2191970890105923,-0.3485830618955278,2
0.6937276658892019,-0.6108761410108745,2
-0.4700757596575514,-0.6302250828526849,2
-0.22980183735961862,-0.5739937286328975,2
0.692220763070944,-0.955647787003516,2
-0.4700757596575514,-0.6302250828526849,2
-0.22980183735961862,-0.5739937286328975,2
0.9388437721934082,-0.7649627361305558,2
0.7446404129792783,-0.8066109440160864,2
-0.08387656800712373,-0.5503119510004095,2
-0.08387656800712373,-0.5503119510004095,2
5.157596599800227,4.520609754647412,2
0.628479939721165,1.1919548849509913,2
0.628479939721165,1.1919548849509913,2
0.628479939721165,1.1919548849509913,2
0.628479939721165,1.1919548849509913,2
2.1843522768307966,1.2576935089804622,2
0.628479939721165,1.1919548849509913,2
0.628479939721165,1.1919548849509913,2
0.628479939721165,1.1919548849509913,2
0.628479939721165,1.1919548849509913,2
2.080802057419677,3.1306523104286983,2
0.5974218918164419,3.1411116300529107,2
0.22169222105045472,2.285294470077861,2
0.22169222105045472,2.285294470077861,2
0.22169222105045472,2.285294470077861,2
0.22169222105045472,2.285294470077861,2
0.22169222105045472,2.285294470077861,2
2.3554375961218144,3.053903507176387,2
0.22169222105045472,2.285294470077861,2
0.22169222105045472,2.285294470077861,2
-0.48608083119566975,-0.4087343420441632,2
1.2090553246064222,0.05931702871072498,2
-0.45967401176097544,-0.3340455081339623,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-0.8927427997808213,-0.423966288136979,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-0.21421599376064338,-0.3074186724724212,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-0.26294175417416965,-0.41180276746613853,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-0.650696717401475,-0.3698486561904373,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-0.8909706396994078,-0.42608001041022464,2
-0.8927427997808213,-0.423966288136979,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-0.6489245573200615,-0.37196237846368285,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-0.8891984796179943,-0.4281937326834702,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-0.8927427997808213,-0.423966288136979,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-0.8856541594551672,-0.43242117722996143,2
-0.8927427997808213,-0.423966288136979,2
-0.7951743114074823,-0.5344788495202181,0
-0.7951743114074823,-0.5344788495202181,0
-0.7951743114074823,-0.5344788495202181,0
-0.6017699854789677,-0.48825514345117216,0
-0.7951743114074823,-0.5344788495202181,0
-0.9199080399286438,-0.25208023091503146,2
-0.8927427997808213,-0.423966288136979,2
-0.7951743114074823,-0.5344788495202181,0
-0.650696717401475,-0.3698486561904373,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-1.0932357660349898,-0.46173510511304255,2
-0.436778156864351,1.622051559448876,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
-1.54998648096921,0.5911402840374286,2
0.20683537833340898,-0.4492324774465722,2
0.20683537833340898,-0.4492324774465722,2
0.20683537833340898,-0.4492324774465722,2
0.20683537833340898,-0.4492324774465722,2
0.20683537833340898,-0.4492324774465722,2
0.20683537833340898,-0.4492324774465722,2
0.20683537833340898,-0.4492324774465722,2
0.20683537833340898,-0.4492324774465722,2
0.20683537833340898,-0.4492324774465722,2
0.20683537833340898,-0.4492324774465722,2
-1.144528486523852,-0.3504875712217843,2
-0.47251106414318866,-0.3676281551580928,2
-1.144528486523852,-0.3504875712217843,2
-1.144528486523852,-0.3504875712217843,2
-1.144528486523852,-0.3504875712217843,2
-1.144528486523852,-0.3504875712217843,2
-1.144528486523852,-0.3504875712217843,2
-1.144528486523852,-0.3504875712217843,2
-1.144528486523852,-0.3504875712217843,2
-1.144528486523852,-0.3504875712217843,2
-0.6524688774828885,-0.36773493391719164,2
-0.6524688774828885,-0.36773493391719164,2
-0.6524688774828885,-0.36773493391719164,2
-0.6524688774828885,-0.36773493391719164,2
-0.6524688774828885,-0.36773493391719164,2
-0.6524688774828885,-0.36773493391719164,2
2.0943028442414264,-0.9530946368713433,2
-0.9118568521012191,0.014846032009328264,2
-0.9118568521012191,0.014846032009328264,2
-0.9118568521012191,0.014846032009328264,2
-0.9118568521012191,0.014846032009328264,2
0.26633606153589945,-0.36796460940815523,2
-0.9118568521012191,0.014846032009328264,2
-0.9118568521012191,0.014846032009328264,2
-0.9118568521012191,0.014846032009328264,2
2.0943028442414264,-0.9530946368713433,2
-1.4462523037433868,0.11487985140727286,2
-1.4462523037433868,0.11487985140727286,2
-1.4462523037433868,0.11487985140727286,2
-1.4462523037433868,0.11487985140727286,2
